"VisR","Reference Term Curie","skos:narrower","skos:narrowMatch","skos:related","skos:relatedMatch","skos:closeMatch","skos:exactMatch","equivalent","skos:broadMatch","skos:broader","Mapped Term Curie","VisM","Mapped Vocabulary","Mapped Term","Mapped Term Depiction","Mapped Vocabulary Ordinal","rdfs:seeAlso","Reference Term"
"opm:","opm:used","skos:narrower","-","-","-","-","-","-","-","-","swp:quotedBy","swp:quotedBy","Semantic Web Publishing Vocabulary","http://www.w3.org/2004/03/trix/swp-2/quotedBy","http://inference-web.org/w/images/3/3a/Swp-2.rdf.rdf.manual.graffle.pdf",8,"","http://openprovenance.org/ontology#used"
"opm:","opm:used","skos:narrower","-","-","-","-","-","-","-","-","cs:statement","cs:statement","Changeset Vocabulary","http://purl.org/vocab/changeset/schema#statement","http://inference-web.org/w/images/b/bf/Schema.turtle.manual.graffle.pdf",9,"","http://openprovenance.org/ontology#used"
"opm:","opm:used","skos:narrower","-","-","-","-","-","-","-","-","cs:removal","cs:removal","Changeset Vocabulary","http://purl.org/vocab/changeset/schema#removal","http://inference-web.org/w/images/b/bf/Schema.turtle.manual.graffle.pdf",9,"","http://openprovenance.org/ontology#used"
"opm:","opm:used","skos:narrower","-","-","-","-","-","-","-","-","cs:addition","cs:addition","Changeset Vocabulary","http://purl.org/vocab/changeset/schema#addition","http://inference-web.org/w/images/b/bf/Schema.turtle.manual.graffle.pdf",9,"","http://openprovenance.org/ontology#used"
"opm:","opm:wasGeneratedBy","-","-","-","-","-","-","-","skos:broadMatch","-","provenir:has_participant","provenir:has_participant","Provenir ontology","http://knoesis.wright.edu/provenir/provenir.owl#has_participant","http://inference-web.org/w/images/f/f1/Provenir.owl.rdf.manual.graffle.pdf",1,"","http://openprovenance.org/ontology#wasGeneratedBy"
"opm:","opm:wasGeneratedBy","-","-","skos:related","-","-","-","-","-","-","hprv:yieldedBy","hprv:yieldedBy","Hartig Provenance Vocabulary","http://purl.org/net/provenance/ns#yieldedBy","http://inference-web.org/w/images/a/a5/Hartig-prov-20100710.rdf.manual.graffle.pdf",2,"","http://openprovenance.org/ontology#wasGeneratedBy"
"opm:","opm:wasGeneratedBy","skos:narrower","-","-","-","-","-","-","-","-","hprv:createdBy","hprv:createdBy","Hartig Provenance Vocabulary","http://purl.org/net/provenance/ns#createdBy","http://inference-web.org/w/images/a/a5/Hartig-prov-20100710.rdf.manual.graffle.pdf",2,"","http://openprovenance.org/ontology#wasGeneratedBy"
"opm:","opm:wasGeneratedBy","skos:narrower","-","-","-","-","-","-","-","-","hprv:retrievedBy","hprv:retrievedBy","Hartig Provenance Vocabulary","http://purl.org/net/provenance/ns#retrievedBy","http://inference-web.org/w/images/a/a5/Hartig-prov-20100710.rdf.manual.graffle.pdf",2,"","http://openprovenance.org/ontology#wasGeneratedBy"
"opm:","opm:wasGeneratedBy","-","-","-","skos:relatedMatch","-","-","-","-","-","pmlj:isConsequentOf","pmlj:isConsequentOf","Proof Markup Language","http://inference-web.org/2.0/pml-justification.owl#isConsequentOf","http://inference-web.org/w/images/8/82/Pml-justification.owl.owl.manual.graffle.pdf",3,"","http://openprovenance.org/ontology#wasGeneratedBy"
"opm:","opm:wasGeneratedBy","-","-","skos:related","-","-","-","-","-","-","pmlp:hasConclusion","pmlp:hasConclusion","Proof Markup Language","http://inference-web.org/2.0/pml-provenance.owl#hasConclusion","http://inference-web.org/w/images/b/b6/Pml-provenance.owl.owl.manual.graffle.pdf",3,"","http://openprovenance.org/ontology#wasGeneratedBy"
"opm:","opm:wasGeneratedBy","-","-","-","-","-","-","-","skos:broadMatch","-","dcterms:source","dcterms:source","Dublin Core Terms","http://purl.org/dc/terms/source","",4,"","http://openprovenance.org/ontology#wasGeneratedBy"
"opm:","opm:wasGeneratedBy","-","-","-","-","-","-","-","skos:broadMatch","-","premis:relatedEventIdentification","premis:relatedEventIdentification","PREMIS","http://multimedialab.elis.ugent.be/ontologies/PREMIS2.0/v1.0/premis.owl#relatedEventIdentification","",5,"","http://openprovenance.org/ontology#wasGeneratedBy"
"opm:","opm:wasGeneratedBy","-","-","-","-","-","-","-","-","skos:broader","pav:createdBy","pav:createdBy","SWAN Provenance, Authoring and Version Vocabulary","http://swan.mindinformatics.org/ontologies/1.2/pav/createdBy","http://inference-web.org/w/images/1/12/Pav.owl.rdf.manual.graffle.pdf",7,"","http://openprovenance.org/ontology#wasGeneratedBy"
"opm:","opm:wasGeneratedBy","skos:narrower","-","-","-","-","-","-","-","-","swp:assertedBy","swp:assertedBy","Semantic Web Publishing Vocabulary","http://www.w3.org/2004/03/trix/swp-2/assertedBy","http://inference-web.org/w/images/3/3a/Swp-2.rdf.rdf.manual.graffle.pdf",8,"","http://openprovenance.org/ontology#wasGeneratedBy"
"opm:","opm:wasControlledBy","-","-","-","-","-","-","-","skos:broadMatch","-","provenir:has_agent","provenir:has_agent","Provenir ontology","http://knoesis.wright.edu/provenir/provenir.owl#has_agent","http://inference-web.org/w/images/f/f1/Provenir.owl.rdf.manual.graffle.pdf",1,"","http://openprovenance.org/ontology#wasControlledBy"
"opm:","opm:wasControlledBy","-","-","-","-","-","-","-","-","skos:broader","hprv:involvedActor","hprv:involvedActor","Hartig Provenance Vocabulary","http://purl.org/net/provenance/ns#involvedActor","http://inference-web.org/w/images/a/a5/Hartig-prov-20100710.rdf.manual.graffle.pdf",2,"","http://openprovenance.org/ontology#wasControlledBy"
"opm:","opm:wasControlledBy","-","-","-","-","-","-","equivalent","-","-","hprv:performedBy","hprv:performedBy","Hartig Provenance Vocabulary","http://purl.org/net/provenance/ns#performedBy","http://inference-web.org/w/images/a/a5/Hartig-prov-20100710.rdf.manual.graffle.pdf",2,"","http://openprovenance.org/ontology#wasControlledBy"
"opm:","opm:wasControlledBy","-","-","skos:related","-","-","-","-","-","-","pmlp:hasSourceUsage","pmlp:hasSourceUsage","Proof Markup Language","http://inference-web.org/2.0/pml-provenance.owl#hasSourceUsage","http://inference-web.org/w/images/b/b6/Pml-provenance.owl.owl.manual.graffle.pdf",3,"","http://openprovenance.org/ontology#wasControlledBy"
"opm:","opm:wasControlledBy","-","-","-","skos:relatedMatch","-","-","-","-","-","pmlj:hasInferenceEngine","pmlj:hasInferenceEngine","Proof Markup Language","http://inference-web.org/2.0/pml-justification.owl#hasInferenceEngine","http://inference-web.org/w/images/8/82/Pml-justification.owl.owl.manual.graffle.pdf",3,"","http://openprovenance.org/ontology#wasControlledBy"
"opm:","opm:wasControlledBy","-","-","-","skos:relatedMatch","-","-","-","-","-","dcterms:contributor","dcterms:contributor","Dublin Core Terms","http://purl.org/dc/terms/contributor","",4,"","http://openprovenance.org/ontology#wasControlledBy"
"opm:","opm:wasControlledBy","-","-","-","skos:relatedMatch","-","-","-","-","-","premis:linkingAgentIdentifier","premis:linkingAgentIdentifier","PREMIS","http://multimedialab.elis.ugent.be/ontologies/PREMIS2.0/v1.0/premis.owl#linkingAgentIdentifier","",5,"","http://openprovenance.org/ontology#wasControlledBy"
"opm:","opm:wasControlledBy","skos:narrower","-","-","-","-","-","-","-","-","pav:contributors","pav:contributors","SWAN Provenance, Authoring and Version Vocabulary","http://swan.mindinformatics.org/ontologies/1.2/pav/contributors","http://inference-web.org/w/images/1/12/Pav.owl.rdf.manual.graffle.pdf",7,"","http://openprovenance.org/ontology#wasControlledBy"
"opm:","opm:wasControlledBy","-","-","skos:related","-","-","-","-","-","-","pav:authors","pav:authors","SWAN Provenance, Authoring and Version Vocabulary","http://swan.mindinformatics.org/ontologies/1.2/pav/authors","http://inference-web.org/w/images/1/12/Pav.owl.rdf.manual.graffle.pdf",7,"","http://openprovenance.org/ontology#wasControlledBy"
"opm:","opm:wasControlledBy","-","-","skos:related","-","-","-","-","-","-","pav:curators","pav:curators","SWAN Provenance, Authoring and Version Vocabulary","http://swan.mindinformatics.org/ontologies/1.2/pav/curators","http://inference-web.org/w/images/1/12/Pav.owl.rdf.manual.graffle.pdf",7,"","http://openprovenance.org/ontology#wasControlledBy"
"opm:","opm:wasControlledBy","-","-","skos:related","-","-","-","-","-","-","pav:importedBy","pav:importedBy","SWAN Provenance, Authoring and Version Vocabulary","http://swan.mindinformatics.org/ontologies/1.2/pav/importedBy","http://inference-web.org/w/images/1/12/Pav.owl.rdf.manual.graffle.pdf",7,"","http://openprovenance.org/ontology#wasControlledBy"
"opm:","opm:wasControlledBy","-","-","skos:related","-","-","-","-","-","-","pav:publishedBy","pav:publishedBy","SWAN Provenance, Authoring and Version Vocabulary","http://swan.mindinformatics.org/ontologies/1.2/pav/publishedBy","http://inference-web.org/w/images/1/12/Pav.owl.rdf.manual.graffle.pdf",7,"","http://openprovenance.org/ontology#wasControlledBy"
"opm:","opm:wasControlledBy","-","-","skos:related","-","-","-","-","-","-","pav:submittedBy","pav:submittedBy","SWAN Provenance, Authoring and Version Vocabulary","http://swan.mindinformatics.org/ontologies/1.2/pav/submittedBy","http://inference-web.org/w/images/1/12/Pav.owl.rdf.manual.graffle.pdf",7,"","http://openprovenance.org/ontology#wasControlledBy"
"opm:","opm:wasControlledBy","-","skos:narrowMatch","-","-","-","-","-","-","-","cs:creatorName","cs:creatorName","Changeset Vocabulary","http://purl.org/vocab/changeset/schema#creatorName","http://inference-web.org/w/images/b/bf/Schema.turtle.manual.graffle.pdf",9,"","http://openprovenance.org/ontology#wasControlledBy"
"opm:","opm:wasTriggeredBy","-","-","-","-","-","-","-","skos:broadMatch","-","provenir:preceded_by","provenir:preceded_by","Provenir ontology","http://knoesis.wright.edu/provenir/provenir.owl#preceded_by","http://inference-web.org/w/images/f/f1/Provenir.owl.rdf.manual.graffle.pdf",1,"","http://openprovenance.org/ontology#wasTriggeredBy"
